job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Nhân Viên Tài Chính,"Quận Cầu Giấy, Hà Nội",Công ty CP Tập đoàn Phú Minh Sơn đại diện cho Công ty CP Tập đoàn Phú Minh Sơn,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Phát Triển Và Đào Tạo,"Quận Thủ Đức, Hồ Chí Minh",GPG đại diện cho GPG,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Nhân Sự Tổng Hợp,"Quận Bình Tân, Hồ Chí Minh",Công ty TNHH Lạc Tỷ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,manager,"senior, manager",
Kỹ Sư Môi Trường,Hồ Chí Minh,CÔNG TY TNHH ESUHAI TECHNOLOGY,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lễ Tân,Thừa Thiên-Huế,SBH GLORIA HUE,Thừa Thiên-Huế,,24/03/2025,24/03/2025,Việt Nam,support,,
Kỹ Sư Thiết Kế Dân Dụng,"Quận Long Biên, Hà Nội",Công ty cổ phần giải pháp tự động hóa DNBC,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Thợ May Công Nghiệp,"Quận Tân Phú, Hồ Chí Minh",Công ty Cổ Phần May Việt Thịnh,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Thợ Sơn Xe Hơi,"Quận 2, Hồ Chí Minh",Telestar Vietnam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Phân Tích Kinh Doanh Thương Mại Điện Tử,"Quận 3, Hồ Chí Minh",Công ty CP Du lịch Coxi,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Hỗ Trợ It,"Thuận An, Bình Dương",REERACOEN VIỆT NAM,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Xây Dựng,Hồ Chí Minh,CÔNG TY TNHH ESUHAI TECHNOLOGY,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
