job_skills,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,summary,first_seen,search_city,search_country,search_position,job_level,job_type
"ITIL Foundation, ITSM, CMMI, Cobit, Jira",2025-02-24,•	Hình thức: Full-time,False,False,Chuyên Gia Quản Trị Dịch Vụ CNTT,Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển (PGBANK),"Tầng 4,5,6 tòa nhà Thành Công, Ô đất P - D17 Khu đô thị Cầu Giấy; phường Dịch Vọng Hậu; quận Cầu Giấy; thành phố Hà Nội,",,20/02/2025,,Việt Nam,,,
"IT Support, Helpdesk, Dynamics 365, Technical Support, Technical Solutions",2025-02-26,Are you passionate about helping others and have a deep understanding of Microsoft Dynamics 365? ,False,False,Technical Support Engineer (Total Package 27.5 Mil Gross for Freshers),Itechwx Company Limited,"1st Office: Opal Tower, 92 Nguyen Huu Canh St., Ward 22, Binh Thanh Dist., HCM City.",,21/02/2025,,Việt Nam,,,
"Data Management, Data Analysis, Information Analysis, Data Lake, Business Intelligence",2025-02-24,Develop and implement a comprehensive data strategy aligned with the company’s business objectives.,False,False,Head of Data,Yes4All Trading Services Company Limited,"127 Hong Ha Street, Ward 9, Phu Nhuan District, Ho Chi Minh City, Vietnam",,20/02/2025,,Việt Nam,,,
"Flutter, Android, Android Flutter Dart, Ios/Android, OS System",2025-02-24,"- Bosch Sensortec is the technology leader in MEMS-based sensing solutions for consumer electronics. Our innovative products are used in smartphones, wearables, AR/VR devices, smart homes, and IoT solutions.",False,False,Flutter Developer (Mobile/ Windows),Bosch Global Software Technologies Company Limited,"29 Lieu Giai, Ngoc Khanh, Ba Dinh Dist., Hanoi",,20/02/2025,,Việt Nam,,,
"Business Analysis, Agile, Project Management, SQL, Data Analysis",2025-03-12,"We are looking for a Business Analyst (BA) to join our technology projects. The ideal candidate will work closely with stakeholders to gather requirements, analyze business needs, and support the implementation of effective solutions.",False,False,Business Analyst,FPT IS,"Đường Sáng Tạo, KCX Tân Thuận, Quận 7",,28/02/2025,,Việt Nam,,,
"Chinese Speaking, English Reading, Inspection Gauges/Tools, QC Report, Quality Inspection",2025-04-09,Please click here for more information:,False,False,Senior Quality Inspector,PetSafe Brands,"Nhà xưởng 1 & 2, Lô C2.10, đường Đ1, khu công nghiệp Đồng An 2, Phường Hòa Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương.",,14/03/2025,,Việt Nam,,,
"SQL, Java, IT Software, C#, .NET",2025-04-09,": Tích hợp công nghệ IoT, RFID, mã vạch, và phần mềm quản lý kho.",False,False,Kỹ Sư Công Nghệ Thông Tin,Công Ty Cổ Phần Thương Mại Xuất Nhập Khẩu Vhs,"Phố Hoài Thanh, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",,14/03/2025,,Việt Nam,,,
"Basic SQL Knowledge, Problem-solving, Product Management, Project Management",2025-04-09,I. Tổng quan vị trí,False,False,Product Manager - Hệ Thống ERP,"CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC","350 Võ Văn Kiệt, Cô Giang",,14/03/2025,,Việt Nam,,,
"Nghiên Cứu và Phân Tích Dữ Liệu, Phát Triển Dữ Liệu, Giao Tiếp Tốt, Chi Tiết",2025-03-12,Key Responsibilities:,False,False,Ecom Data Analyst Intern,"Shiseido Cosmetics Vietnam CO., LTD","Vietcombank Tower, Công trường Mê Linh, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,28/02/2025,,Việt Nam,,,
"Quản Trị Mạng, IT System Administration, IT Phần Cứng, Công Nghệ Thông Tin",2025-04-09,- Software development and implementation based on the Development Cycle,False,False,IT Software Staff - Working At Nhon Trach,Saitex International Dong Nai (VN),"Khu Công Nghiệp Nhơn Trạch 6, Long Thọ, Nhơn Trạch, Đồng Nai, Việt Nam",,14/03/2025,,Việt Nam,,,
"Project Management, Business Process Management, Mobile Apps Design, Testing, Business Transformation",2025-04-09,"•	Actively join digital projects and implement digitalization initiatives in all business aspects to support customer experience improvements delivered with proper technologies and processes, include but not limited to set-up project timeline, understand and analyze business requirement properly, follow-up tasks, do User-Acceptance-Test, etc. in respect of objectives well delivery on-time",False,False,Digital Project Executive,Shinhan Vietnam Finance Company Limited,"Lầu 19, tòa nhà The Mett, số 15 Trần Bạch Đằng, phường Thủ Thiêm, Thành phố Thủ Đức",,14/03/2025,,Việt Nam,,,
"Chất Lượng Sản Phẩm, Giám Sát, Qa, Qc, Quản lý chất lượng",2025-04-09,- Thực hiện các nhiệm vụ liên quan đến quản lý chất lượng và các công việc khác theo sự phân công của cấp trên.,False,False,Tổ Trưởng QC,CÔNG TY TNHH JCV CORP,"Lô P-4, khu công nghiệp Tràng Duệ,  phường An Hòa, quân An Dương,TP Hải Phòng",,14/03/2025,,Việt Nam,,,
"Nghiên Cứu Phần Mềm, Phát Triển Sản Phẩm, Xử Lý Âm Thanh, Tiếng Nhật, Project Management",2025-04-09,"Cresyn Hà Nội R&D Center (văn phòng nghiên cứu và phát triển các sản phẩm tai nghe bluetooh, headphone, tai nghe có dây, dây cáp) mở rộng quy mô nên cần tuyển kỹ sư PM (Project managing engineer)",False,False,Project Manager (Tiếng Nhật/ Hàn/ Anh),Công Ty TNHH Cresyn Hà Nội,"Tầng 3, tòa N04B-T1, Khu ngoại giao đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,14/03/2025,,Việt Nam,,,
"Công Nghệ Thông Tin, IT System Administration, Information Technology, Tiếng Hoa, Chinese",2025-04-09, đang có nhu cầu tuyển dụng vị trí ,False,False,Nhân Viên Công Nghệ Thông Tin 資訊技術人員,Hua Nan Commercial Bank – Ho Chi Minh City Branch,"Quận 1, Ho Chi Minh City, Vietnam",,14/03/2025,,Việt Nam,,,
"IT System Administration, IT Helpdesk, IT Support, Công Nghệ Thông Tin, Hardware",2025-02-26,• Answer staff’s questions in person and via phone/email.,False,False,IT Support Staff,Công Ty TNHH Kintetsu World Express Việt Nam,"Bluesky office tower, Đường Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,21/02/2025,,Việt Nam,,,
"Giao Tiếp, Quản Trị Kinh Doanh, Quản Trị Nhân Sự, Sử Dụng Công Nghệ, Tài Chính Kế Toán",2025-04-09,"- Tiếp nhận data từ bộ phận Marketing và các nguồn khác để tư vấn, giới thiệu phần mềm 1Office phù hợp theo nhu cầu của khách hàng.",False,False,Chuyên Viên Tư Vấn Giải Pháp Lương Cứng Upto 15M,Công Ty Cổ Phần 1Office,"Tầng 3, Tòa G2 Five Star Garden, số 02 Kim Giang, Q. Thanh Xuân, Hà Nội",,14/03/2025,,Việt Nam,,,
"Communication, Data Analysis, Data Modeling, Python, SQL",2025-03-26,"The Data Analyst will be responsible for collecting, analyzing, and interpreting data to provide meaningful insights that drive strategic decision-making and support business objectives. They will utilize their analytical skills to identify patterns, trends, and correlations within datasets and translate them into actionable recommendations. The objective of this role is to leverage data to help improve operational efficiency, inform business strategies, and optimize performance across various departments within the organization. The Data Analyst will play a critical role in enabling data-driven decision-making and ensuring data integrity and accuracy in all analytical processes.",False,False,"Manager, Data Analyst & Insights",Chubb Life Vietnam,"Floor 21, Sun Wah Tower, 115 Nguyen Hue Street, Ho Chi Minh City, Vietnam",,07/03/2025,,Việt Nam,,,
"Thiết Kế Hệ Thống, Lập Trình NET, HTML/CSS, Quản Trị Cơ Sở Dữ Liệu, Design Pattern, Design Pattern, Design Pattern, Design Pattern, Design Pattern, Design Pattern",2025-04-09,"• Tham gia phân tích, thiết kế, phát triển và bảo trì các phần mềm ứng dụng.",False,False,Chuyên Viên Triển Khai Dự Án Và Phát Triển Ứng Dụng,Flamingo Holding Group,"Số 24 Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",,14/03/2025,,Việt Nam,,,
"Communication, Python, Qlik, SAS, Tableau",2025-04-09,"United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia, Thailand and Vietnam, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.",False,False,Business Analytics Manager (Fixed-Term Contract),United Overseas Bank (Vietnam) Limited (UOB),"MPlaza, 39 Le Duan, Ben Nghe",,14/03/2025,,Việt Nam,,,
"Infrastructure, Network Configuration, ERP, IT System Administration, it engineering",2025-04-09,"1. Manage information and monitoring machine daily, plan periodic inspections",False,False,[Dong Nai_Up to 1500$] - IT Infrastructure Engineer,Navigos Search,"Long Thanh, Dong Nai Province",,14/03/2025,,Việt Nam,,,
"Banking, Data Architecture, Financial Analysis, Information Technology, Data Digitization Solutions",2025-03-12,Job Purpose,False,False,"Expert, Data Engineering",Techcombank,Ha Noi,,28/02/2025,,Việt Nam,,,
"CCNA, IT Management, IT Infrastructure, Cloud Computing & Cloud Service Provider, Database Administration",2025-03-20,•	Xây dựng chiến lược và quản lý vận hành hệ thống CNTT.,False,False,Trưởng Phòng Công Nghệ Thông Tin,Công Ty Cổ Phần Quản Lý Biển,"Golden King, Nguyễn Lương Bằng, Khu đô thị Phú Mỹ Hưng, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,04/03/2025,,Việt Nam,,,
"Agile Development, Customer Journey Map, Service Strategy, Stakeholder Management, Team Management",2025-03-12,"The service design manager will be working through the entire design and delivery process, from framing problems to improving and re-imaging end-to-end experiences. The job holder will lead and evangelize the service design discipline within the bank enabling the harmonization of customer needs and business objectives.",False,False,Service Design Manager,Techcombank,"Hà Nội, Việt Nam",,28/02/2025,,Việt Nam,,,
"Power BI, Data Visualization, DMS System",2025-04-09,"The Excellent Information Execution Manager is tasked with driving the strategic management, optimization, and execution of commercial information within the organization. This role is critical in ensuring that commercial data is accurate, actionable, and effectively utilized to enhance sales performance and strategic decision-making. The ideal candidate will possess a robust background in commercial operations, data analysis, and project management, coupled with exceptional leadership and communication skills.",False,False,Excellent Information Execution Manager (HCMC),HEINEKEN Vietnam,"05 Me Linh Square, D.1, HCMC",,14/03/2025,,Việt Nam,,,
"Giải pháp CNTT, Giải Pháp Kỹ Thuật, Phân Tích Nghiệp Vụ, Thuyết Phục Đàm Phán, Tư Vấn Giải Pháp",2025-03-20,- Hiểu rõ các sản phẩm dịch vụ đang kinh doanh phục vụ tư vấn khách hàng ,False,False,Nhân Viên Tư Vấn Giải Pháp,Tổng Công Ty Giải Pháp Doanh Nghiệp Viettel (VTS),"Tòa nhà Viettel, số 1 Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội.",,04/03/2025,,Việt Nam,,,
"Core Banking, Application Development, English, Information Technology, IT, IT",2025-03-20,Job Responsibilities,False,False,IT Staff,Bank of India - Ho Chi Minh City Branch,"Unit No. 202 & 203, Saigon Trade Center, 37, Ton Duc Thang Street, District 1, HCMC",,04/03/2025,,Việt Nam,,,
"Quality Assurance, Kiểm Thử, Kiểm Thử Phần Mềm, Selenium, SQL",2025-03-20,"•	Hiểu rõ chức năng, tính năng của sản phẩm và các yêu cầu về độ tin cậy, bảo mật, tương thích, mở rộng và tối ưu tài nguyên.",False,False,QA/QC Testing Manager ( Trưởng phòng kiểm thử),CÔNG TY CỔ PHẦN ĐỐI TÁC CHÂN THẬT,"2A đường số 5, Phường An Phú, Thành phố Thủ Đức, TP. Hồ Chí Minh",,04/03/2025,,Việt Nam,,,
"Hệ Thống Bảo Mật, Hệ Thống Mạng, IT Administration, Kiểm Tra Xử Lý Phần Cứng, Quản Lý Hệ Thống",2025-03-20,"- Quản lý và khắc phục sự cố hệ thống mạng, máy tính văn phòng;",False,False,Trưởng phòng IT [Long Biên - Lương Cạnh Tranh],CÔNG TY CỔ PHẦN TẬP ĐOÀN TS GROUP,"Moonlight Building, 5/6 Vũ Đức Thận – Đức Giang – Long Biên – Hà Nội",,04/03/2025,,Việt Nam,,,
"C#, Flutter, Java Programming, JavaScript",2025-03-20,"•	Thiết kế kiến trúc hệ thống web (bao gồm cả database, API, microservices…) để đảm bảo tính mở rộng, bền vững và an toàn thông tin.",False,False,Kỹ Sư Phát Triển Phần Mềm,Tổng Công Ty Giải Pháp Doanh Nghiệp Viettel (VTS),"Tòa nhà Viettel, số 1 Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội.",,04/03/2025,,Việt Nam,,,
"CRM, CRM management, CRM Systems, CRM Systems, CRM Tools, CRM Tools, Phân Tích Dữ Liệu",2025-02-26,"• Duy trì việc triển khai, cập nhật cải tiến và ứng dụng các tính năng/chức năng của Salesforce để tối ưu hóa việc quản lý quan hệ khách hàng và đáp ứng các mục tiêu kinh doanh.",False,False,Senior CRM Executive,Công Ty Cổ Phần Sữa VitaDairy Việt Nam,"Tầng 5 - 37 Tôn Đức Thắng, Phường Bến Nghé",,21/02/2025,,Việt Nam,,,
"Banking, Quản Trị Vận Hành, Fintech, Hệ Thống Phát Hành Thẻ, Thanh Toán Thẻ",2025-02-26,:https://tuyendung.bidv.com.vn/tin-tuyen-dung/500/chuyen-vien-cong-nghe-the-cap-2.html,False,False,Chuyên Viên Công Nghệ Thẻ Cấp 2,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam (BIDV),"Hà Nội, Việt Nam",,21/02/2025,,Việt Nam,,,
"Network Engineering, Firewall, Cisco, Quản Trị Hệ Thống Mạng, Fortinet",2025-02-26,"FocusTech.,JSC là công ty hàng đầu trong lĩnh vực tích hợp hệ thống CNTT, với hơn 14 năm kinh nghiệm triển khai hàng trăm dự án cho các tập đoàn FDI và khách hàng lớn. Chúng tôi là đối tác chiến lược của các hãng công nghệ hàng đầu như Cisco, HP, Dell, IBM, Juniper, Palo Alto, Fortinet, Microsoft…",False,False,"Kỹ Sư Tích Hợp Hệ Thống (Network Engineer) – LC 25-30Tr – Cầu Giấy, Hà Nội","Focus Technologies.,jsc","Tầng 7, tòa Zodiac, ngõ 19 Duy Tân, Cầu Giấy, Hà Nội",,21/02/2025,,Việt Nam,,,
"Python, Machine Learning, Data Analysis, SQL, Agile Project Management",2025-02-28,Identification and analysis of valuable information from data in order to support the business in making better data driven decisions and taking data-driven actions,False,False,Decision Science Consultant,HEINEKEN Vietnam,"Vietcombank Tower - 05 Me Linh Square, D.1, HCMC",,22/02/2025,,Việt Nam,,,
"ReactJS, Python, Back End Developer",2025-02-26,"- Thiết kế, phát triển và tối ưu hóa giao diện người dùng bằng Vue.js (or React.js)",False,False,"Developer Full-Stack (Python, NodeJS)",Iart Group,"Số 48 ngõ 141 Nguyễn Khang, Yên Hòa, Cầu Giấy",,21/02/2025,,Việt Nam,,,
"ASP.NET, C#, jQuery, MVC Framework 5, Problem Solving",2025-02-26,MAIN DUTIES,False,False,Senior Software Developer,Công ty TNHH R-Pac Việt Nam,Thu Dau Mot,,21/02/2025,,Việt Nam,,,
,,False,False,False,,Công Ty Cổ Phần Elmich,,,,,Việt Nam,,,
,,False,False,False,,Công ty TNHH R-Pac Việt Nam,,,,,Việt Nam,,,
,,False,False,False,,CÔNG TY TNHH CIGRO VIETNAM,,,,,Việt Nam,,,
,,False,False,False,,Công Ty Cổ Phần 1Office,,,,,Việt Nam,,,
"Quản Lý Ứng Dụng, SQL, Cơ Sở Dữ Liệu, Core Banking, Core Banking Development",2025-03-20,-	Đảm bảo việc cung cấp dịch vụ CNTT đúng theo cam kết (SLA),False,False,Chuyên Viên Chính Quản Lý Ứng Dụng Core Banking,Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển (PGBANK),"Tầng 4,5,6 tòa nhà Thành Công, Ô đất P - D17 Khu đô thị Cầu Giấy; phường Dịch Vọng Hậu; quận Cầu Giấy; thành phố Hà Nội,",,04/03/2025,,Việt Nam,,,
"Quản Trị Nhân Sự, CRM, Phân Tích Dữ Liệu, Quản Lý Database, Chiến lược phát Triển",2025-02-26,"- Tham gia dự án CRM với vai trò chuyên gia CRM, phân tích dữ liệu khách hàng, tạo báo cáo dựa trên dữ liệu trực tuyến và ngoại tuyến để tạo / tinh chỉnh tiếp cận khách hàng, hiểu hành vi, hành trình của khách hàng.",False,False,Trưởng Bộ Phận CRM – LV Tại Hà Nội,Công Ty Cổ Phần Elmich,"Tầng 17, tòa nhà 319 BQP, Số 63 Lê Văn Lương, Phường Trung Hòa, Cầu Giấy, Hà Nội.",,21/02/2025,,Việt Nam,,,
"CCNP, CCNA, Triển Khai Mạng, Bảo mật mạng, Tích Hợp Giải Pháp Viễn Thông",2025-02-26,1. Tham gia triển khai dự án theo kế hoạch:,False,False,Kỹ Sư Triển Khai Network & Security,Công Ty Cổ Phần Công Nghệ Truyền Thông DTS,"Số 4 Dã Tượng, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,21/02/2025,,Việt Nam,,,
"IQC, Quản Lý Chất Lượng IQC",2025-02-26,ESSENTIAL DUTIES AND RESPONSIBILITIES,False,False,IQC Supervisor,Jabil Vietnam Company Limited,"Lot i8-1, Sai Gon High Tech Park, Thu Duc City, HCMC",,21/02/2025,,Việt Nam,,,
"An Toàn Thông Tin, Networking, System, HTML & CSS, CSDL như: SQL Server, My SQL, MongoDB",2025-03-20,"• Phát triển giải pháp / dịch vụ CNTT như giám sát, xác thực người dùng, các giải pháp tự động hóa/automation, ảo hóa, container, cloud…, các giải pháp dựa trên đường truyền Internet cho khách sạn và doanh nghiệp và an toàn an ninh",False,False,Kỹ Sư Phát Triển Hệ Thống - System Development Engineer,Công Ty Cổ Phần Netnam,"Tầng 2 - HITC Building, 239 Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",,04/03/2025,,Việt Nam,,,
"English Communication, Node.js, PostgreSQL, React Native, ReactJS",2025-03-20,### **Responsibilities**,False,False,Full-Stack Developer,CÔNG TY TNHH CIGRO VIETNAM,"Vietnam, Ho Chi Minh City, Quan 2, Thảo Điền, Võ Nguyên Giáp, ARIZE CAMPUS",,04/03/2025,,Việt Nam,,,
"Quản Lý Quy Trình, Performance Analysis, QA, QA & Testing, Software Quality Assessment",2025-03-20,"Chúng tôi tìm kiếm một Chuyên viên Đảm bảo chất lượng để quản lý và tối ưu hóa quy trình, đảm bảo chất lượng trong hoạt động phát triển sản phẩm và lập trình liên quan đến dịch vụ cho thuê phần mềm ERP (SaaS). Vị trí này đóng vai trò quan trọng trong việc xây dựng, giám sát quy trình làm việc và đánh giá hiệu quả thông qua hệ thống KPI, nhằm đảm bảo các sản phẩm ERP luôn đáp ứng tiêu chuẩn cao nhất và nhu cầu của khách hàng.",False,False,Chuyên viên Đảm bảo chất lượng phần mềm (Software Quality Assurance) - Upto 30M,Công Ty Cổ Phần 1Office,"Tầng 3, Tòa G2 Five Star Garden, số 02 Kim Giang, Q. Thanh Xuân, Hà Nội",,04/03/2025,,Việt Nam,,,
"VueJS, NodeJS, SOA, Angular, Angular, Angular, SOLID, VueJS",2025-03-20,We are looking for a Full stack Developer to build and implement functional programs. You will work with other Developers and Product Managers throughout the software development life cycle.,False,False,Full Stack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ IHOUZZ,"Bình Thạnh, Ho Chi Minh City, Vietnam",,04/03/2025,,Việt Nam,,,
"Power Apps, Power Automate, SharePoint, Power Fx",2025-03-22,False,False,False,Part-time/Freelancer PowerApps & SharePoint Developer,Australia Pathway Consulting APC,"Tòa nhà VNDECO, 4 Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,05/03/2025,,Việt Nam,,,
"ReactJS, Typescript, HTML/CSS, English Fluency, Information Systems Audit",2025-03-20,POSITION GOAL  ,False,False,Senior Lead Developer,Công Ty TNHH Tsarsi,"Lầu 20, 93-95 Hàm Nghi, Nguyễn Thái Bình, District 1, Ho Chi Minh City, Vietnam",,04/03/2025,,Việt Nam,,,
"Data Warehouse Systems, ERP Migration, MS SQL DBA, Problem-solving, Statistical Reporting",2025-02-26,"Data Migration and Reporting Specialist is responsible for implementing application systems to support the bank's business goals while striving for the highest quality. We aim to provide extensive system support by delivering reliable application solutions. We are seeking a highly skilled Report Developer to join our team. In this role, you will be responsible for managing data migration projects and ensuring accurate reporting capabilities for our core banking system.",False,False,Data Migration And Reporting Specialist,Public Bank Vietnam Ltd,"Tòa nhà Hanoi Tungshing Square, Số 2, Ngô Quyền, Phường Lý Thái Tổ, Hoàn Kiếm, Hà Nội",,21/02/2025,,Việt Nam,,,
"IFRS, Oracle Financials, Asset Liability Management, Oracle Database, Risk Management",2025-03-20,o	Work closely with clients to understand their business processes and financial requirements.,False,False,"Oracle Financial Services Analytical Applications (Ofsaa) Consultant (Focus Pft, Alm, FTP or Ifrs9)",Chi Nhánh Công Ty TNHH KPMG,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",,04/03/2025,,Việt Nam,,,
"SQL, Oracle, IT, MES SYSTEM",2025-04-13,"Phụ trách bảo trì công dụng chức năng mà hệ thống MES và WMS hiện có, xử lý các vấn đề mà người dùng của các bộ phận trong nội bộ công ty phản hồi, hoàn thiện các chức năng, phát triển và nhập các công năng mà khách hàng mới và thiết bị mới cần. Chi tiết: ",False,False,MES Engineer中文优先,Cty TNHH Công Nghệ Điện Tử - Nghe Nhìn Boe Việt Nam,"Đường số 3, KCN Nhơn Trạch 2- Nhơn Phú, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai",,16/03/2025,,Việt Nam,,,
"Business Process Management, English Fluency, Implementing Business Software, IT Operations",2025-02-18,"The position is for an expert in software systems implementation, that is expected to be able to manage and lead the whole process for the company to switch ERP systems. This includes (but not limited to):",False,False,ERP Project Coordinator,Chi Nhánh Hà Nội - Công Ty TNHH Kiara Garments Việt Nam,"Số 15, Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",,17/02/2025,,Việt Nam,,,
"Business Analysis, Digital transformation, Digitalization, Effective Communication, Manufacturing knowledge",2025-03-20,• Provides Leadership and support for Apparel MES/APS global solution design & implementation/ rollout project execution from Business Process & Digital solution perspective.,False,False,Senior Business Analyst,Avery Dennison Vietnam,"Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,04/03/2025,,Việt Nam,,,
"C#, English Communication, Python Programming, Software Lifecycle Management, Testing Analyst",2025-04-15,Job Summary,False,False,Software Development Engineer- Test Tools & Factory Support,Ascenx Technologies (Vietnam),"Ascenx Technologies - Unit 5B, 5th Floor, Standard Factory Building, Road 14, Tan Thuan EPZ, Tan Thuan Dong Ward",,17/03/2025,,Việt Nam,,,
"An Toàn Thông Tin, Dynatrace, Giám Sát Hệ Thống, Nagios

, Đánh Giá Hiệu Suất",2025-04-07,"Vị trí sẽ chịu trách nhiệm phát hiện và cảnh báo sớm các vấn đề liên quan đến hiệu suất và lỗi hệ thống CNTT trong môi trường ngân hàng. Vai trò này giúp bảo đảm sự ổn định và hiệu quả của các hệ thống công nghệ thông tin, phát hiện sớm sự cố hoặc sự giảm hiệu suất, từ đó đảm bảo các dịch vụ ngân hàng hoạt động liên tục, phục vụ khách hàng một cách hiệu quả và không gián đoạn.",False,False,Chuyên Viên Chính/Chuyên Viên Cao Cấp Phòng Phân Tích Cảnh Báo Sớm Và Giám Sát Hệ Thống - Khối Công Nghệ Thông Tin,Ngân hàng TMCP Tiên Phong (TPBank),"Hà Nội, Vietnam",,13/03/2025,,Việt Nam,,,
"Digital Marketing Tools, Analytical Skills, Technical skills, Project Management, Communication Skills",2025-03-18,"This role focuses on the operation and management of the Customer Engagement Platform (CEP), utilizing Salesforce Marketing Cloud to enhance customer engagement. The Digital Customer Engagement Manager will oversee platform functionality, execute use cases, and collaborate with stakeholders to ensure effective use of the CEP, from initial setup to ongoing monitoring and optimization.",False,False,Digital Customer Engagement Manager,Prudential Vietnam Assurance,"8 Hoàng Văn Thái, Khu đô thị Phú Mỹ Hưng, Tân Phú, District 7, Ho Chi Minh City, Vietnam",,03/03/2025,,Việt Nam,,,
"Database Administration, Project management skills",2025-03-28,"* Tối ưu hóa việc tạo giá trị cho các bên liên quan bằng cách khai thác dữ liệu hiện có thông qua các kỹ thuật khai phá dữ liệu nâng cao, nhằm phát hiện những thông tin có giá trị và thúc đẩy ra quyết định chiến lược.",False,False,Chuyên Gia Khoa Học Dữ Liệu/ Data Science Expert,Công Ty TNHH TM DV Tân Hiệp Phát,"219 Đại Lộ Bình Dương, Thành Phố Thuận An, Bình Dương",,08/03/2025,,Việt Nam,,,
"Cài Đặt Hệ Thống Ảo Hóa, HP Blade, Quản Trị Hạ Tầng CNTT, VMWare System Administration, Điện Tử Viễn Thông",2025-04-15,"- Thực hiện cài đặt hệ thống hạ tầng phần cứng máy chủ bao gồm: Máy chủ vật lý (Blade server, Rackmount server) hoặc trên môi trường ảo hóa (VMware)",False,False,Chuyên Viên Quản Lý Máy Chủ - Khối Công Nghệ Thông Tin (HO25.72),Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Việt Nam",,17/03/2025,,Việt Nam,,,
"AI Solutions, Backlog Management, Khoa Học Dữ Liệu, Kiểm Thử Phần Mềm, Software Testing",2025-04-15,"- Thực hiện kiểm định các mô hình AI. Đánh giá tính hợp lệ của input, phân tích và phát hiện các bất thường nếu có của input dữ liệu, làm sạch dữ liệu; thực hiện kiểm định chất lượng mô hình AI, ML",False,False,"Chuyên Vên, Chuyên Viên Cao Cấp Kiểm Định Mô Hình AI - Khối Công Nghệ Thông Tin (HO25.90)",Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Việt Nam",,17/03/2025,,Việt Nam,,,
"Software Programming, Excel proficiency, Sql Queries, Data Visualization, Power BI",2025-04-15,"This position supports Careers, Alumni & Industry Relations department in data reporting and developing new features of our current platforms",False,False,Data & Digital Platform Developer (Short-Term & Contracted Through 3rd Party),RMIT University Vietnam,"521 Kim Mã, Ngọc Khánh, Ba Đình, Hanoi, Vietnam",,17/03/2025,,Việt Nam,,,
"Agile, Công Nghệ Thông Tin, ISO, Quality Assurance, Quản lý chất lượng",2025-04-15,"•	Nghiên cứu các quy trình, quy định, bộ tiêu chuẩn chất lượng, công cụ, phương pháp làm việc … trong và ngoài nước để áp dụng cho tổ chức trong việc quản trị, vận hành hệ thống chất lượng",False,False,Chuyên Viên Đảm Bảo Chất Lượng - Quality Assurance - Khối Công Nghệ Thông Tin (HO25.45),Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Việt Nam",,17/03/2025,,Việt Nam,,,
"Salesforce Development, CRM, CRM Systems, CRM software proficiency, CRM Software",2025-04-15,"We are seeking a dynamic and experienced CRM Data & System Manager to lead our team in managing and analyzing user data systems within the fast-moving consumer goods (FMCG) sector. The ideal candidate will have a strong background in CRM system, data analysis, team leadership, and customer relationship management, with a passion for driving customer engagement and loyalty.",False,False,CRM Data System Manager,Công Ty Cổ Phần Sữa Vitadairy Việt Nam,"37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. HCM",,17/03/2025,,Việt Nam,,,
,,False,False,False,,KEYENCE CORPORATION,,,,,Việt Nam,,,
