job_skills,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,summary,first_seen,search_city,search_country,search_position,job_level,job_type
"Hệ Thống Mạng, Bảo Mật Dữ Liệu, Giải Pháp Công Nghệ, Điện Tử Viễn Thông, VMware",2025-02-22,"Chịu trách nhiệm giám sát, vận hành và tối ưu hóa hệ thống hạ tầng CNTT của doanh nghiệp, bao gồm máy chủ, mạng, lưu trữ, bảo mật và các dịch vụ nền tảng. Vai trò này đảm bảo hạ tầng luôn sẵn sàng, ổn định, an toàn và hỗ trợ tốt nhất cho các hoạt động kinh doanh của công ty và tập đoàn. ",False,False,Chuyên Viên Quản Trị Hạ Tầng Máy Chủ và Lưu Trữ,Hyundai Thành Công Việt Nam (Hyundai.thanhcong.vn),"Thành Công Tower, 79 Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,19/02/2025,,Việt Nam,,,
"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",2025-04-03,"At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.",False,False,SAP Senior Consultant - SAP Extended Warehouse Management (EWM) Module,Deloitte Consulting SEA,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam",,11/03/2025,,Việt Nam,,,
"Mobile App Development, Kotlin, JSON, Android",2025-03-04," để gia nhập đội ngũ phát triển các ứng dụng streaming đa nền tảng, đột phá và đầy thử thách. Nếu bạn yêu thích công nghệ, có kinh nghiệm xây dựng ứng dụng Android chất lượng cao với Kotlin và mong muốn tạo ra những sản phẩm có tác động lớn, mang đến trải nghiệm giải trí tuyệt vời cho hàng triệu người dùng, hãy cùng chúng tôi kiến tạo tương lai của ngành streaming!",False,False,Android Developer (Kotlin),FPT Telecom,"FPT Tân Thuận 2, Tân Thuận, Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,24/02/2025,,Việt Nam,,,
"CCNA, Quản Trị Hệ Thống Thông Tin, Linux, An Ninh Thông Tin, Quản Trị Cơ Sở Dữ Liệu",2025-03-22,"Công ty Cổ phần Chứng khoán Navibank (NVS) được thành lập theo quyết định số 93/QĐ-UBCK do Uỷ ban Chứng khoán Nhà nước cấp ngày 16 tháng 05 năm 2008 và đang trong quá trình phát triển với mục tiêu trở thành một trong những công ty chứng khoán hoạt động chuyên nghiệp, năng động, hiệu quả. Hiện nay do nhu cầu phát triển, NVS thông báo tuyển dụng ứng viên cho vị trí Phó Phòng Hệ thống – Khối Công nghệ thông tin với các yêu cầu sau:",False,False,Phó Phòng Hệ Thống – Khối Công Nghệ Thông Tin,Công Ty CP Chứng Khoán Navibank (NVS),"Tầng 6, Tháp A, Tòa nhà Handi Resco, 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",,05/03/2025,,Việt Nam,,,
"Hỗ Trợ Kỹ Thuật, Tư Vấn Giải Pháp, Quản Lý Dự Án Viễn Thông, Cloud, Công Nghệ Thông Tin",2025-03-22,"Phụ trách công tác tư vấn, thiết kế giải pháp cho các dự án mình phụ trách thuộc một trong các lĩnh vực viễn thông & công nghệ thông tin, an ninh bảo mật, an ninh quốc phòng, bao gồm các công việc chủ yếu sau:",False,False,Kỹ Sư Giải Pháp (Solution Engineer),Công Ty TNHH Kinh Doanh Dịch Vụ Thông Tin & Chuyển Giao Công Nghệ,"Hà Nội, Vietnam",,05/03/2025,,Việt Nam,,,
"IT Helpdesk, Công Nghệ Thông Tin, Quản Trị Mạng, IT Support, IT Hardware",2025-03-22,- Triển khai lắp đặt thiết bị CNTT của nhân viên khi có yêu cầu ,False,False,Nhân Viên IT,Công Ty TNHH PIC Việt Nam,"Công ty TNHH PIC Việt Nam, Đường B1, khu B, KCN Phố Nối A, Lạc Hồng, Văn Lâm, Hưng Yên",,05/03/2025,,Việt Nam,,,
"Data Analytics, Performance Analysis, Performance Tracking, Quality Assurance, Reporting",2025-02-24,": Manager, Recruitment Performance Management",False,False,"Recruitment Performance & Quality Assurance, Specialist",AIA Vietnam (Great Place To Work® Certified),"14F, Saigon Centre 2, 67 Le Loi, District 1, HCM",,20/02/2025,,Việt Nam,,,
"Hệ Thống Mạng, Bảo Mật Dữ Liệu, Giải Pháp Công Nghệ, Điện Tử Viễn Thông, VMware",2025-04-09,Nghiệp vụ về Bảo mật thông tin,False,False,Chuyên Viên Bảo Mật Thông Tin,Hyundai Thành Công Việt Nam (Hyundai.thanhcong.vn),"Thành Công Tower, 79 Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,14/03/2025,,Việt Nam,,,
"Cyber Risk Management, Cybersecurity Awareness, Cybersecurity, IT Security, Cybersecurity Expertise",2025-03-08,"•	Establish and maintain information security policy or standards to meet business, legal and regulatory requirements.",False,False,Isd Senior Officer - Cybersecurity,Crystal Martin (Vietnam) Company Limited,"Lô R(R1), KCN Quang Châu, TX Việt Yên, TP Bắc Giang",,26/02/2025,,Việt Nam,,,
"Analytical Skills, Communication Skills, Customer Management, Problem-solving, Sales",2025-03-20,"We are looking for a dynamic Solution Sales Representative to join our team. You will be responsible for achieving business results in solution deals and professional services, meeting sales quotas in assigned product lines and services. Your role will involve expanding customer relationships directly and supporting collaborative sales efforts.",False,False,Solution Sales Representative,FUJIFILM Business Innovation Vietnam,"14 Floor, VCCI Tower, số 9 Đào Duy Anh, Phương Mai, Đống Đa, Hà nội",,04/03/2025,,Việt Nam,,,
".NET, Lập Trình Nhúng, JavaScript, Khoa Học Máy Tính, Trí Tuệ Nhân Tạo",2025-04-07,"Bạn muốn trở thành một phần của ngôi nhà thứ hai, nơi tràn ngập nụ cười và sự an tâm?",False,False,[ Hot Job ] Nhân Viên IT,Brother Industries (Vietnam) Ltd.,"Hải Dương, Hai Duong, Vietnam",,13/03/2025,,Việt Nam,,,
"Quản Lý Phần Mềm, Xử Lý Sự Cố, Lập Trình Phần Mềm, Quản Trị Cơ Sở Dữ Liệu, Kỹ Thuật Vận Hành",2025-03-22,"• Quản lý, vận hành, xử lý sự cố môi trường kiểm thử người dùng cho các phần mềm trong giai đoạn phát triển/nâng cấp theo phân công phụ trách;",False,False,Chuyên Viên Vận Hành Phần Mềm,Công Ty Cổ Phần Chứng Khoán BIDV (BSC),"210 Trần Quang Khải, Hoàn Kiếm, HN",,05/03/2025,,Việt Nam,,,
"Programning Languages, Version Control, API Testing, Quality Assurance, Software Testing",2025-03-22,• Collaborate with software developers and quality assurance teams to understand project requirements and functionality.,False,False,QC Automation Tester,MCGAAW,"5th Floor, Unit 5.4&5.5, E-Town 1, 364 Cong Hoa Street, Tan Binh District, Ho Chi Minh City, VietNam",,05/03/2025,,Việt Nam,,,
"Quản Trị Mạng, An Ninh Bảo Mật, TCP/IP, CCNA, Kỹ Thuật Hệ Thống, TCP/IP, TCP/IP",2025-03-22,"• Triển khai, vận hành hệ thống mạng (LAN, WAN, Internet) và các thiết bị mạng;",False,False,Chuyên Viên Quản Trị Mạng Và An Ninh Bảo Mật,Công Ty Cổ Phần Chứng Khoán BIDV (BSC),"210 Trần Quang Khải, Hoàn Kiếm, HN",,05/03/2025,,Việt Nam,,,
"IT Operations, IT System Administration, Property Management System, IT Project Management, IT Infrastructure Management",2025-03-22,"- Translate business requirements, hotel, casino and marketing strategies, into short, medium and long term IT strategic plans within the resort. ",False,False,Director of Information Technology,The Grand Ho Tram,"Hồ Tràm, Bà Rịa - Vũng Tàu, Việt Nam",,05/03/2025,,Việt Nam,,,
"Communication, Database Administration, Database Administration, Database Administration, Database Development, Linux, Oracle",2025-03-22,Tasks:,False,False,Database Administration Officer_H.O (Chuyên viên Quản lý Cơ sở Dữ liệu_Hội sở),Ngân Hàng TNHH Indovina – Hội Sở,"97A Nguyen Van Troi, Ward 11",,05/03/2025,,Việt Nam,,,
"Spark, Hadoop, PySpark, Big Data, Data Engineer",2025-02-22,"- Analyze data from data producers and transform them into unified form, organize them within the data platforms and/or analytical/production feature store, produce base & derived features in line with Risk Modelling team requirements",False,False,Data Engineer,Home Credit Vietnam - Explore Your Dream Team,"20 Nguyễn Đăng Giai, Thao Dien, District 2, Ho Chi Minh City, Vietnam",,19/02/2025,,Việt Nam,,,
